team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,draft_rank,idp_solo,pct_owned,return_tds
JAC,0.7,NA,3,NA,0.5,0.7,0.1,20.5,NA,NA,NA,341.9,NA,10.36,NA,FleaFlicker,0509,DST,2342,Jacksonville Jaguars,NA,8,HOUSun 1:00 PM,NA,0,8%,NA
IND,0.7,NA,2.8,NA,0.5,0.8,0.2,20.1,NA,NA,NA,321,NA,10.26,NA,FleaFlicker,0502,DST,2341,Indianapolis Colts,NA,11,@TENSun 1:00 PM,D/ST25,0,23%,NA
WAS,0.9,NA,2.9,NA,0.5,0.7,0.1,20,NA,NA,NA,352.2,NA,10.2,NA,FleaFlicker,0520,DST,2359,Washington Commanders,NA,12,LVSun 1:00 PM,D/ST21,0,25%,NA
GB,0.9,NA,2.7,NA,0.5,0.7,0.2,16.6,NA,NA,NA,320.4,NA,10.15,NA,FleaFlicker,0523,DST,2339,Green Bay Packers,NA,5,@CLESun 1:00 PM,D/ST9,0,78%,NA
DAL,0.6,NA,3.1,NA,0.5,0.7,0.1,25.6,NA,NA,NA,331.2,NA,10.13,NA,FleaFlicker,0516,DST,2336,Dallas Cowboys,NA,10,@CHISun 4:25 PM,D/ST20,0,36%,NA
CIN,0.8,NA,2.9,NA,0.5,0.6,0.1,21.9,NA,NA,NA,310.8,NA,9.81,NA,FleaFlicker,0506,DST,2334,Cincinnati Bengals,NA,10,@MINSun 1:00 PM,NA,0,14%,NA
LAR,0.6,NA,2.8,NA,0.5,0.9,0.1,24.2,NA,NA,NA,338.9,NA,9.78,NA,FleaFlicker,0528,DST,2356,Los Angeles Rams,NA,8,@PHISun 1:00 PM,D/ST11,0,73%,NA
PHI,0.8,NA,2.4,NA,0.5,1,0.2,21.8,NA,NA,NA,356.6,NA,9.67,NA,FleaFlicker,0518,DST,2351,Philadelphia Eagles,NA,9,LARSun 1:00 PM,D/ST2,0,92%,NA
DEN,0.5,NA,2.9,NA,0.4,0.7,0.1,23.1,NA,NA,NA,350.3,NA,9.66,NA,FleaFlicker,0511,DST,2337,Denver Broncos,NA,12,@LACSun 4:05 PM,D/ST1,0,97%,NA
SEA,0.8,NA,2.5,NA,0.5,0.7,0.2,17.5,NA,NA,NA,303.4,NA,9.45,NA,FleaFlicker,0515,DST,2354,Seattle Seahawks,NA,8,NOSun 4:05 PM,D/ST10,0,71%,NA
ATL,0.8,NA,2.6,NA,0.6,0.7,0.1,19.4,NA,NA,NA,304.2,NA,9.43,NA,FleaFlicker,0526,DST,2329,Atlanta Falcons,NA,5,@CARSun 1:00 PM,D/ST24,0,21%,NA
SF,0.7,NA,2.4,NA,0.6,0.9,0.1,21.6,NA,NA,NA,337.8,NA,9.41,NA,FleaFlicker,0530,DST,2355,San Francisco 49ers,NA,14,ARISun 4:25 PM,D/ST14,0,49%,NA
LV,0.6,NA,2.8,NA,0.4,0.7,0.1,24.6,NA,NA,NA,345.8,NA,9.33,NA,FleaFlicker,0513,DST,2350,Las Vegas Raiders,NA,8,@WASSun 1:00 PM,NA,0,6%,NA
