player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Marquise Brown,WR,KC,1,3.7,2.3,26.4,26.4,11.5,0.3,0,0.3,0,0,0,3.8,3.8,2804128,CBS,14105,NA,NA,NA,NA,NA,NA,NA,NA
Tee Higgins,WR,CIN,1,3.3,1.9,27.7,27.7,14.6,0.3,0,0,0,0,0,3.8,3.8,2809208,CBS,14835,NA,NA,NA,NA,NA,NA,NA,NA
Noah Brown,WR,WAS,1,4,2.2,33.8,33.8,15.4,0.1,0,0,0,0,0,3.6,3.6,2139270,CBS,13172,NA,NA,NA,NA,NA,NA,NA,NA
Josh Palmer,WR,BUF,1,3.9,2.4,34.9,34.9,14.5,0.1,0,0.1,0,0,0,3.6,3.6,2867325,CBS,15319,NA,NA,NA,NA,NA,NA,NA,NA
Chimere Dike,WR,TEN,1,4.7,2.9,24,24,8.3,0.3,0.7,1.4,2,0,0.1,3.6,3.6,3162452,CBS,17171,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Nailor,WR,MIN,1,2.8,1.6,26,26,16.3,0.2,0.1,0.8,8,0,0,3.2,3.2,2967232,CBS,15786,NA,NA,NA,NA,NA,NA,NA,NA
Brandin Cooks,WR,BUF,1,3,2.1,23.7,23.7,11.3,0.2,0.1,0.6,6,0,0,3.2,3.2,1880880,CBS,11674,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Legette,WR,CAR,1,3.8,2,21,21,10.5,0.2,0.1,0.3,3,0,0,3.2,3.2,3131575,CBS,16639,NA,NA,NA,NA,NA,NA,NA,NA
Luther Burden III,WR,CHI,1,2.9,2.2,28.4,28.4,12.9,0.2,0.4,1.9,4.8,0,0,3.2,3.2,28874444,CBS,17070,NA,NA,NA,NA,NA,NA,NA,NA
Calvin Austin III,WR,PIT,1,3.7,2.2,25.1,25.1,11.4,0.2,0.1,0.7,7,0,0,3.2,3.2,2866214,CBS,15777,NA,NA,NA,NA,NA,NA,NA,NA
Demario Douglas,WR,NE,1,2.9,2,27.4,27.4,13.7,0.2,0.4,1.7,4.3,0,0,3.2,3.2,3126241,CBS,16342,NA,NA,NA,NA,NA,NA,NA,NA
John Metchie III,WR,NYJ,1,4.8,3.2,26.8,26.8,8.4,0.2,0.1,-0.4,-4,0,0,3.2,3.2,3121171,CBS,15759,NA,NA,NA,NA,NA,NA,NA,NA
Treylon Burks,WR,WAS,1,2.5,1.4,20.5,20.5,14.6,0.2,0.2,0.8,4,0,0,3.2,3.2,3122944,CBS,15752,NA,NA,NA,NA,NA,NA,NA,NA
Keon Coleman,WR,BUF,1,3.3,2,22.3,22.3,11.2,0.2,0,0.1,0,0,0,3.2,3.2,26717289,CBS,16617,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Hutchinson,WR,HOU,1,3,1.8,21.4,21.4,11.9,0.2,0.2,1.4,7,0,0,3.2,3.2,3161943,CBS,16201,NA,NA,NA,NA,NA,NA,NA,NA
Garrett Wilson,WR,NYJ,1,4,2.5,27.3,27.3,10.9,0.2,0.1,0.1,1,0,0,3.2,3.2,3123864,CBS,15753,NA,NA,NA,NA,NA,NA,NA,NA
Elic Ayomanor,WR,TEN,1,4.8,2.4,27.7,27.7,11.5,0.2,0,0,0,0,0,3.2,3.2,28900714,CBS,17073,NA,NA,NA,NA,NA,NA,NA,NA
Gunner Olszewski,WR,NYG,1,2.7,1.4,21.2,21.2,15.1,0.1,0,0.2,0,0,0.3,3.2,3.2,3117210,CBS,14555,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Golden,WR,GB,1,2.8,2,25.5,25.5,12.8,0.1,0.7,3.7,5.3,0,0,2.6,2.6,28874927,CBS,17075,NA,NA,NA,NA,NA,NA,NA,NA
Bo Melton,CB,GB,1,2.4,1.2,20.2,20.2,16.8,0.1,0.6,4.4,7.3,0,0,2.6,2.6,2870475,CBS,15785,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Lockett,WR,LV,1,3.3,2.1,23.1,23.1,11,0.1,0,0,0,0,0,2.6,2.6,1860834,CBS,12187,NA,NA,NA,NA,NA,NA,NA,NA
Isaac TeSlaa,WR,DET,1,2.5,1.4,20.4,20.4,14.6,0.1,0,0.1,0,0,0,2.6,2.6,29122587,CBS,17157,NA,NA,NA,NA,NA,NA,NA,NA
Pat Bryant,WR,DEN,1,3.5,2.1,26.2,26.2,12.5,0.1,0,0.1,0,0,0,2.6,2.6,26697415,CBS,17082,NA,NA,NA,NA,NA,NA,NA,NA
Cedric Tillman,WR,CLE,1,3.6,1.9,20.1,20.1,10.6,0.1,0,0.1,0,0,0,2.6,2.6,2962120,CBS,16191,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Smith,WR,LAR,1,1.8,1.4,23.1,23.1,16.5,0.1,0.1,0.5,5,0,0,2.6,2.6,2986749,CBS,16428,NA,NA,NA,NA,NA,NA,NA,NA
Tom Kennedy,WR,DET,1,2.7,1.8,22.6,22.6,12.6,0.1,0.1,0.6,6,0,0.1,2.4,2.4,3117113,CBS,14503,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Mims,WR,DEN,1,2.8,2,20.3,20.3,10.2,0.1,0.8,3.9,4.9,0,0.1,2.4,2.4,3162586,CBS,16189,NA,NA,NA,NA,NA,NA,NA,NA
Malik Washington,WR,MIA,1,3.9,2.8,21.3,21.3,7.6,0.1,0.8,4.7,5.9,0,0.1,2.4,2.4,3124729,CBS,16684,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell Tinsley,WR,CIN,1,2.6,1.3,16.8,16.8,12.9,0.2,0.1,0.2,2,0,0,2.2,2.2,3162481,CBS,16403,NA,NA,NA,NA,NA,NA,NA,NA
