player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,fg_0019,pos_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Tyler Loop,K,BAL,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,8.36,NA,19411,FleaFlicker,17222,NA,NA,NA,NA,7,@GBW 41-24,8.36,K6,2/1,2/2,43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,8.17,NA,17315,FleaFlicker,15979,NA,NA,NA,NA,2,HOUL 16-20,8.17,K4,2/2,2/2,89%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,7.98,NA,12347,FleaFlicker,12860,NA,NA,NA,NA,6,@LACW 20-16,7.98,K5,2/2,1/1,84%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Smyth,K,NO,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,7.85,NA,18354,FleaFlicker,17424,NA,NA,NA,NA,1,@TENSun 1:00 PM,NA,K25,2/1,1/1,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,7.77,NA,18573,FleaFlicker,16681,NA,NA,NA,NA,6,DETW 23-10,7.77,K16,2/2,1/1,37%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,5.54,NA,13035,FleaFlicker,13303,NA,NA,NA,NA,9,@BUFSun 4:25 PM,NA,K15,1/1,2/2,51%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,NA,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,4.37,NA,17688,FleaFlicker,16292,NA,NA,NA,NA,8,@CINSun 1:00 PM,NA,K26,0/0,1/1,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRGraham Gano,K,NYG,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,6304,FleaFlicker,9694,NA,NA,NA,NA,4,@LVSun 4:05 PM,NA,NA,0/0,0/0,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRDJason Sanders,K,MIA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,13977,FleaFlicker,13832,NA,NA,NA,NA,2,TBSun 1:00 PM,NA,K19,0/0,0/0,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRTyler Bass,K,BUF,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,15626,FleaFlicker,14983,NA,NA,NA,NA,7,PHISun 4:25 PM,NA,K17,0/0,0/0,33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucas Havrisik,K,GB,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,17574,FleaFlicker,16043,NA,NA,NA,NA,5,BALL 24-41,NA,NA,0/0,0/0,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
