player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,curr_site_pts,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Oronde Gadsden,TE,LAC,NA,3.42,2.41,23.68,NA,NA,0.16,NA,4.49,NA,56472,FanDuel,17099,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,27,172,24,34,Los Angeles Chargers,34,Los Angeles Chargers,LAC,32,Washington Commanders,WSH,WEEKLY
Daniel Bellinger,TE,NYG,NA,3.22,2.34,23.66,NA,NA,0.13,NA,4.28,NA,55285,FanDuel,15873,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,28,176,26,21,New York Giants,20,New Orleans Saints,NO,21,New York Giants,NYG,WEEKLY
Elijah Arroyo,TE,SEA,NA,3.05,2.08,24.03,NA,NA,0.14,NA,4.26,NA,56390,FanDuel,17108,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,29,177,9,28,Seattle Seahawks,28,Seattle Seahawks,SEA,30,Tampa Bay Buccaneers,TB,WEEKLY
Michael Mayer,TE,LV,NA,3.32,2.39,22.34,NA,NA,0.13,NA,4.19,NA,55578,FanDuel,16212,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,30,178,21,35,Las Vegas Raiders,14,Indianapolis Colts,IND,35,Las Vegas Raiders,LV,WEEKLY
Mike Gesicki,TE,CIN,NA,3.56,2.39,20.25,NA,NA,0.12,NA,3.92,NA,53784,FanDuel,13672,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,31,185,10,7,Cincinnati Bengals,7,Cincinnati Bengals,CIN,11,Detroit Lions,DET,WEEKLY
Austin Hooper,TE,NE,NA,2.64,1.83,20.59,NA,NA,0.11,NA,3.61,NA,53054,FanDuel,12677,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,32,189,15,19,New England Patriots,4,Buffalo Bills,BUF,19,New England Patriots,NE,WEEKLY
Colby Parkinson,TE,LA,NA,2.46,1.7,17.4,NA,NA,0.11,NA,3.23,NA,54804,FanDuel,14871,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,33,193,13,33,Los Angeles Rams,33,Los Angeles Rams,LA,27,San Francisco 49ers,SF,WEEKLY
Isaiah Likely,TE,BAL,NA,2.99,1.85,17.29,NA,NA,0.1,NA,3.23,NA,55282,FanDuel,15798,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,33,193,8,3,Baltimore Ravens,3,Baltimore Ravens,BAL,13,Houston Texans,HOU,WEEKLY
Noah Gray,TE,KC,NA,2.07,1.49,15.84,NA,NA,0.1,NA,2.93,NA,55048,FanDuel,15337,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,35,197,2,16,Kansas City Chiefs,15,Jacksonville Jaguars,JAC,16,Kansas City Chiefs,KC,WEEKLY
Luke Schoonmaker,TE,DAL,NA,2.22,1.59,14.02,NA,NA,0.12,NA,2.9,NA,55592,FanDuel,16221,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,36,198,27,9,Dallas Cowboys,22,New York Jets,NYJ,9,Dallas Cowboys,DAL,WEEKLY
Lucas Krull,TE,DEN,NA,2.24,1.59,14.36,NA,NA,0.09,NA,2.75,NA,55854,FanDuel,15970,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,37,204,12,10,Denver Broncos,24,Philadelphia Eagles,PHI,10,Denver Broncos,DEN,WEEKLY
AJ Barner,TE,SEA,NA,1.83,1.27,13.64,NA,NA,0.09,NA,2.73,NA,56078,FanDuel,16723,0.29,1.48,0.01,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,38,205,9,28,Seattle Seahawks,28,Seattle Seahawks,SEA,30,Tampa Bay Buccaneers,TB,WEEKLY
Dawson Knox,TE,BUF,NA,1.96,1.19,13.64,NA,NA,0.13,NA,2.72,NA,54230,FanDuel,14143,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,39,206,18,4,Buffalo Bills,4,Buffalo Bills,BUF,19,New England Patriots,NE,WEEKLY
Davis Allen,TE,LA,NA,1.96,1.38,12.94,NA,NA,0.09,NA,2.5,NA,55842,FanDuel,16219,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,40,208,13,33,Los Angeles Rams,33,Los Angeles Rams,LA,27,San Francisco 49ers,SF,WEEKLY
