player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds
Jerry Jeudy,WR,CLE,NA,7,4,62,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4241463,ESPN,14833,NA,NA,NA,NA,NA,NA,NA
Jameson Williams,WR,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4426388,ESPN,15756,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KCC,NA,8,6,73,NA,NA,1,0,1,NA,0,NA,NA,NA,4428331,ESPN,16194,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,NA,7,5,65,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4426354,ESPN,15762,NA,NA,NA,NA,NA,NA,NA
Rome Odunze,WR,CHI,NA,7,4,65,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4431299,ESPN,16616,NA,NA,NA,NA,NA,NA,NA
Travis Hunter,WR,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4685415,ESPN,17074,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3916433,ESPN,14127,NA,NA,NA,NA,NA,NA,NA
Matthew Golden,WR,GB,NA,5,3,43,NA,NA,0,1,8,NA,0,NA,NA,NA,4701936,ESPN,17075,NA,NA,NA,NA,NA,NA,NA
Emeka Egbuka,WR,TB,NA,8,5,77,NA,NA,1,0,2,NA,0,NA,NA,NA,4567750,ESPN,17081,NA,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,NA,10,6,77,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4361370,ESPN,15754,NA,NA,NA,NA,NA,NA,NA
Ricky Pearsall,WR,SF,NA,5,3,47,NA,NA,0,0,1,NA,0,NA,NA,NA,4428209,ESPN,16622,NA,NA,NA,NA,NA,NA,NA
Michael Pittman Jr.,WR,IND,NA,7,6,61,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4035687,ESPN,14842,NA,NA,NA,NA,NA,NA,NA
Stefon Diggs,WR,NE,NA,7,5,59,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2976212,ESPN,12186,NA,NA,NA,NA,NA,NA,NA
Cooper Kupp,WR,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2977187,ESPN,13164,NA,NA,NA,NA,NA,NA,NA
