player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,dst_int,dst_fum_rec,dst_sacks,dst_fumbles,dst_tackles,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Kayshon Boutte,WR,NE,NA,6.04,3.65,40.84,NA,NA,0.26,0,0,NA,0,NA,7.45,NA,55686,FanDuel,16193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,53,130,31,19,New England Patriots,17,Miami Dolphins,MIA,19,New England Patriots,NE,WEEKLY
Darnell Mooney,WR,ATL,NA,5.94,3.41,45.75,NA,NA,0.19,0,0,NA,0,NA,7.44,NA,54612,FanDuel,14974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,54,131,11,2,Atlanta Falcons,18,Minnesota Vikings,MIN,2,Atlanta Falcons,ATL,WEEKLY
KaVontae Turpin,WR,DAL,NA,2.79,1.73,20.81,NA,NA,0.14,4.69,24.73,NA,0.21,NA,7.2,NA,55345,FanDuel,15981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,55,136,30,9,Dallas Cowboys,9,Dallas Cowboys,DAL,21,New York Giants,NYG,WEEKLY
Romeo Doubs,WR,GB,NA,5.35,3.15,39.02,NA,NA,0.29,0,0,NA,0,NA,7.18,NA,55278,FanDuel,15779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,56,137,4,12,Green Bay Packers,12,Green Bay Packers,GB,32,Washington Commanders,WSH,WEEKLY
Rashod Bateman,WR,BAL,NA,4.27,2.55,38.91,NA,NA,0.33,0,0,NA,0,NA,7.15,NA,54860,FanDuel,15293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,57,138,8,3,Baltimore Ravens,3,Baltimore Ravens,BAL,8,Cleveland Browns,CLE,WEEKLY
Xavier Legette,WR,CAR,NA,5.72,3.22,40.27,NA,NA,0.2,0.27,1.32,NA,0.01,NA,7.03,NA,55909,FanDuel,16639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,58,141,14,5,Carolina Panthers,1,Arizona Cardinals,ARI,5,Carolina Panthers,CAR,WEEKLY
Quentin Johnston,WR,LAC,NA,5.06,3.04,39.15,NA,NA,0.25,0,0,NA,0,NA,6.94,NA,55579,FanDuel,16188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,59,144,13,34,Los Angeles Chargers,35,Las Vegas Raiders,LV,34,Los Angeles Chargers,LAC,WEEKLY
Dyami Brown,WR,JAC,NA,4.47,2.53,34.49,NA,NA,0.2,1.37,7.27,NA,0.05,NA,6.92,NA,54897,FanDuel,15292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,60,145,12,15,Jacksonville Jaguars,7,Cincinnati Bengals,CIN,15,Jacksonville Jaguars,JAC,WEEKLY
Tre Tucker,WR,LV,NA,4.99,3.14,37.93,NA,NA,0.23,0.24,1.08,NA,0.01,NA,6.91,NA,55732,FanDuel,16287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,61,146,18,35,Las Vegas Raiders,35,Las Vegas Raiders,LV,34,Los Angeles Chargers,LAC,WEEKLY
Jayden Reed,WR,GB,NA,4.68,2.94,38.66,NA,NA,0.26,0,0,NA,0,NA,6.84,NA,55614,FanDuel,16184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,62,147,4,12,Green Bay Packers,12,Green Bay Packers,GB,32,Washington Commanders,WSH,WEEKLY
Malik Washington,WR,MIA,NA,4.82,3.1,30.88,NA,NA,0.23,1.3,6.09,NA,0.04,NA,6.79,NA,56117,FanDuel,16684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,63,148,17,17,Miami Dolphins,17,Miami Dolphins,MIA,19,New England Patriots,NE,WEEKLY
Sterling Shepard,WR,TB,NA,5.38,3.47,35.91,NA,NA,0.21,0.27,1.41,NA,0.01,NA,6.79,NA,53073,FanDuel,12658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,63,148,15,30,Tampa Bay Buccaneers,13,Houston Texans,HOU,30,Tampa Bay Buccaneers,TB,WEEKLY
Demario Douglas,WR,NE,NA,5.71,3.69,32.82,NA,NA,0.22,0.5,2.79,NA,0.02,NA,6.77,NA,55684,FanDuel,16342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,65,150,31,19,New England Patriots,17,Miami Dolphins,MIA,19,New England Patriots,NE,WEEKLY
Jayden Higgins,WR,HOU,NA,4.71,2.94,38.07,NA,NA,0.22,0,0,NA,0,NA,6.58,NA,56270,FanDuel,17083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,66,153,22,13,Houston Texans,13,Houston Texans,HOU,30,Tampa Bay Buccaneers,TB,WEEKLY
Elic Ayomanor,WR,TEN,NA,5.12,3.04,38.69,NA,NA,0.2,0,0,NA,0,NA,6.55,NA,56302,FanDuel,17073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,67,154,5,31,Tennessee Titans,31,Tennessee Titans,TEN,33,Los Angeles Rams,LA,WEEKLY
Calvin Austin III,WR,PIT,NA,4.98,2.91,34.88,NA,NA,0.22,0,0,NA,0,NA,6.22,NA,55637,FanDuel,15777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,68,160,23,25,Pittsburgh Steelers,25,Pittsburgh Steelers,PIT,28,Seattle Seahawks,SEA,WEEKLY
