player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Tyrell Shavers,WR,BUF,NA,2.06,1.21,14.03,NA,NA,0.09,0,0,NA,0,NA,2.51,NA,56224,FanDuel,16451,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,105,258,5,4,Buffalo Bills,4,Buffalo Bills,BUF,24,Philadelphia Eagles,PHI,WEEKLY
Mitchell Tinsley,WR,CIN,NA,1.79,1.07,12.53,NA,NA,0.12,0,0,NA,0,NA,2.47,NA,56334,FanDuel,16403,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,106,259,26,7,Cincinnati Bengals,7,Cincinnati Bengals,CIN,1,Arizona Cardinals,ARI,WEEKLY
Jahan Dotson,WR,PHI,NA,2.35,1.3,13.26,NA,NA,0.08,0,0,NA,0,NA,2.46,NA,55244,FanDuel,15755,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,107,260,16,24,Philadelphia Eagles,4,Buffalo Bills,BUF,24,Philadelphia Eagles,PHI,WEEKLY
Malachi Corley,WR,CLE,NA,1.6,0.88,9.74,NA,NA,0.06,1.3,5.59,NA,0.03,NA,2.43,NA,55923,FanDuel,16636,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,108,262,19,8,Cleveland Browns,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Tyler Lockett,WR,LV,NA,1.54,1.01,11.62,NA,NA,0.08,0,0,NA,0,NA,2.15,NA,52807,FanDuel,12187,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,109,271,29,35,Las Vegas Raiders,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Jonathan Mingo,WR,DAL,NA,1.82,1.01,10.73,NA,NA,0.09,0,0,NA,0,NA,2.1,NA,55587,FanDuel,16197,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,110,273,31,9,Dallas Cowboys,32,Washington Commanders,WSH,9,Dallas Cowboys,DAL,WEEKLY
Adam Thielen,WR,PIT,NA,1.4,0.95,11.2,NA,NA,0.08,0,0,NA,0,NA,2.07,NA,52572,FanDuel,11938,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,111,274,3,25,Pittsburgh Steelers,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Dyami Brown,WR,JAC,NA,1.35,0.72,9.44,NA,NA,0.06,0.57,2.38,NA,0.03,NA,2.06,NA,54897,FanDuel,15292,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,112,275,20,15,Jacksonville Jaguars,14,Indianapolis Colts,IND,15,Jacksonville Jaguars,JAC,WEEKLY
Ben Skowronek,WR,PIT,NA,1.68,0.99,11.5,NA,NA,0.06,0,0,NA,0,NA,2.01,NA,55037,FanDuel,15491,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,113,276,3,25,Pittsburgh Steelers,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Xavier Smith,WR,LA,NA,1.43,0.86,11.35,NA,NA,0.07,0,0,NA,0,NA,1.99,NA,55646,FanDuel,16428,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,114,277,18,33,Los Angeles Rams,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
Cedrick Wilson,WR,MIA,NA,1.58,0.93,11.51,NA,NA,0.06,0,0,NA,0,NA,1.96,NA,677,FanDuel,13652,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,115,282,17,17,Miami Dolphins,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Jordan Whittington,WR,LA,NA,1.43,0.88,10.78,NA,NA,0.07,0,0,NA,0,NA,1.94,NA,55992,FanDuel,16633,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,116,283,18,33,Los Angeles Rams,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
Gage Larvadain,WR,CLE,NA,1.34,0.72,8.4,NA,NA,0.05,0.98,4.08,NA,0.02,NA,1.93,NA,56498,FanDuel,17349,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,117,284,19,8,Cleveland Browns,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Devin Duvernay,WR,CHI,NA,1.75,0.98,9.62,NA,NA,0.08,0,0,NA,0,NA,1.91,NA,54504,FanDuel,14847,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,118,285,21,6,Chicago Bears,27,San Francisco 49ers,SF,6,Chicago Bears,CHI,WEEKLY
Konata Mumpfield,WR,LA,NA,1.43,0.83,9.67,NA,NA,0.09,0,0,NA,0,NA,1.9,NA,56341,FanDuel,17254,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,119,286,18,33,Los Angeles Rams,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
