id,src_id,pos,player,team,rush_att,rush_yds,rush_tds,rec_yds,rec_tds,rec,rec_tgt,data_src,fumbles_lost,site_pts,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
13488,zach-pascal,WR,Zach Pascal,ARI,0,0,0,4,0.02,0.37,NA,NumberFire,NA,0.51,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.78,3.8,#2,332,141,0.71,4300,0.17,0.89,3000,0.3,0.71,10,0.07,NA
15763,justyn-ross,WR,Justyn Ross,KC,0,0,0,2.98,0.02,0.24,NA,NumberFire,NA,0.43,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.83,3.69,#32,338,142,0.54,4300,0.13,0.66,3000,0.22,0.54,10,0.05,NA
15758,david-bell,WR,David Bell,CLE,0,0,0,3.6,0.01,0.37,NA,NumberFire,NA,0.42,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.84,3.68,#12,341,143,0.61,4200,0.15,0.79,3000,0.26,0.61,10,0.06,NA
15900,montrell-washington,WR,Montrell Washington,KC,0,0,0,2.88,0.02,0.23,NA,NumberFire,NA,0.41,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.84,3.66,#32,342,144,0.5,4000,0.13,0.63,3000,0.21,0.5,NA,NA,NA
16507,kwamie-lassiter-ii,WR,Kwamie Lassiter II,CIN,0,0,0,2.48,0.01,0.22,NA,NumberFire,NA,0.33,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.9,3.56,#9,350,145,0.42,4200,0.1,0.53,3000,0.18,0.42,NA,NA,NA
12394,deandre-carter,WR,DeAndre Carter,LV,0,0,0,2.75,0.01,0.22,NA,NumberFire,NA,0.32,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.9,3.54,#18,352,146,0.43,4500,0.1,0.55,3000,0.18,0.43,10,0.04,NA
15297,amari-rodgers,WR,Amari Rodgers,IND,0,0,0,2.23,0.01,0.16,NA,NumberFire,NA,0.3,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.92,3.52,#7,357,147,0.34,4000,0.09,0.43,NA,NA,0.34,NA,NA,NA
15292,dyami-brown,WR,Dyami Brown,WSH,0,0,0,2.36,0.01,0.2,NA,NumberFire,NA,0.3,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.92,3.52,#16,357,147,0.4,4400,0.09,0.5,3000,0.17,0.4,10,0.04,NA
13316,trent-taylor,WR,Trent Taylor,CHI,0,0,0,1.87,0.01,0.18,NA,NumberFire,NA,0.24,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.95,3.43,#28,368,149,0.34,4000,0.09,0.43,3000,0.14,0.34,10,0.03,NA
14112,parris-campbell,WR,Parris Campbell,NYG,0,0,0,1.81,0.01,0.18,NA,NumberFire,NA,0.23,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.96,3.42,#8,370,150,0.33,4700,0.07,0.42,3000,0.14,0.33,10,0.03,NA
16191,cedric-tillman-1,WR,Cedric Tillman,CLE,0,0,0,1.86,0.01,0.18,NA,NumberFire,NA,0.22,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.97,3.41,#12,371,151,0.34,4100,0.08,0.43,3000,0.14,0.34,10,0.03,NA
15981,kavontae-turpin,WR,KaVontae Turpin,DAL,0.29,1.57,0.01,0,0,0,NA,NumberFire,NA,0.21,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.97,3.39,#21,372,152,0.2,4400,0.05,0.21,3000,0.07,0.2,10,0.02,NA
12801,2556214,WR,Tyreek Hill,MIA,NA,1.37,0.01,108.39,0.69,8.32,NA,NFL,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15281,2565941,WR,Ja'Marr Chase,CIN,NA,1.55,0.01,98.22,0.51,7.76,NA,NFL,NA,20.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12186,2552608,WR,Stefon Diggs,BUF,NA,0.11,NA,96.27,0.63,7.1,NA,NFL,NA,20.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16211,2570026,WR,Puka Nacua,LA,NA,0.99,0.01,91.55,0.48,7.13,NA,NFL,NA,19.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
