id,src_id,pos,player,team,rush_att,rush_yds,rush_tds,rec_yds,rec_tds,rec,rec_tgt,data_src,fumbles_lost,site_pts,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,return_tds,two_pts
16391,4383396,RB,Hunter Luepke,DAL,0,1,0,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10932,15478,RB,Brandon Bolden,LV,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13838,3125232,RB,Nick Bawden,NYJ,0,1,0,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12040,17315,RB,Keith Smith,ATL,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13130,16393,RB,Christian McCaffrey,SF,18.7,79.2,0.8,36.3,0.2,4.1,NA,FantasyPros,0.1,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14085,18705,RB,Tony Pollard,DAL,17.4,75.7,0.6,30.5,0.2,3.6,NA,FantasyPros,0.1,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13404,16483,RB,Austin Ekeler,LAC,14.3,59.1,0.5,33.3,0.2,4.1,NA,FantasyPros,0.1,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12447,14338,RB,Raheem Mostert,MIA,15.6,67.4,0.6,20.5,0.1,2.7,NA,FantasyPros,0.1,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13132,16421,RB,Alvin Kamara,NO,15.4,60.1,0.4,38.5,0.2,5,NA,FantasyPros,0.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15708,22982,RB,Breece Hall,NYJ,16.1,75,0.5,22.4,0.1,2.6,NA,FantasyPros,0.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15253,19231,RB,Travis Etienne Jr.,JAC,17.2,73.9,0.5,22.1,0.1,2.9,NA,FantasyPros,0.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15711,23021,RB,Kenneth Walker III,SEA,18.6,76.4,0.6,14.2,0.1,2,NA,FantasyPros,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15749,24333,RB,Isiah Pacheco,KC,15.7,69.6,0.5,21.4,0.1,2.6,NA,FantasyPros,0.1,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14802,19217,RB,Jonathan Taylor,IND,15.1,71.7,0.5,21.9,0.1,2.6,NA,FantasyPros,0.1,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14073,18269,RB,Josh Jacobs,LV,16.8,66.6,0.4,29.4,0.1,3.6,NA,FantasyPros,0.1,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13604,17240,RB,Saquon Barkley,NYG,18,70.4,0.4,21.9,0.1,3.4,NA,FantasyPros,0.1,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16162,22968,RB,Jahmyr Gibbs,DET,16.9,57.2,0.5,24.4,0.1,3.2,NA,FantasyPros,0,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12626,15514,RB,Derrick Henry,TEN,17.6,75,0.5,14.7,0.1,1.8,NA,FantasyPros,0.1,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14223,18621,RB,Alexander Mattison,MIN,15.5,62.9,0.4,24.1,0.1,3,NA,FantasyPros,0.1,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14797,19210,RB,D'Andre Swift,PHI,13.7,58.9,0.4,23.4,0.1,3.2,NA,FantasyPros,0,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16161,23133,RB,Bijan Robinson,ATL,14.6,57.9,0.3,26.8,0.1,3.4,NA,FantasyPros,0.1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13131,16420,RB,Joe Mixon,CIN,14.4,59.2,0.4,19.2,0.1,3,NA,FantasyPros,0,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13319,16673,RB,Aaron Jones,GB,11.8,52.3,0.3,27.3,0.2,3.2,NA,FantasyPros,0,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15715,22958,RB,James Cook,BUF,13.7,60.5,0.4,18.5,0.1,2.3,NA,FantasyPros,0.1,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15717,22947,RB,Dameon Pierce,HOU,15.8,65.1,0.4,9.8,0.1,1.3,NA,FantasyPros,0.1,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13850,17687,RB,Gus Edwards,BAL,14.8,64.7,0.5,6.4,0,0.8,NA,FantasyPros,0.1,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15259,22726,RB,Rhamondre Stevenson,NE,12.1,48.3,0.3,25.5,0.1,3.5,NA,FantasyPros,0,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
