team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,bye,curr_site_pts,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,return_tds
LA,0.68,NA,2.49,NA,0.49,NA,0.2,18.5,NA,NA,NA,318.67,NA,7.72,NA,NumberFire,0528,los-angeles-rams-d-st,D,Los Angeles Rams D/ST,NA,NA,NA,NA,CLE,NA,NA,NA,NA,NA,1.59,13.85,#28,9,7.76,3700,2.1,7.76,7.76,NA
NYJ,0.55,NA,2.41,NA,0.5,NA,0.19,17.5,NA,NA,NA,305.08,NA,7.69,NA,NumberFire,0505,new-york-jets-dst,D,New York Jets D/ST,NA,NA,NA,NA,ATL,NA,NA,NA,NA,NA,1.56,13.82,#23,10,7.69,4400,1.75,7.69,7.69,NA
CAR,0.85,NA,2.37,NA,0.49,NA,0.18,20,NA,NA,NA,317.85,NA,7.45,NA,NumberFire,0527,carolina-dst,D,Carolina D/ST,NA,NA,NA,NA,TB,NA,NA,NA,NA,NA,1.37,13.53,#14,11,7.45,3200,2.33,7.45,7.45,NA
SF,0.71,NA,3.06,NA,0.51,NA,0.17,22.25,NA,NA,NA,336.29,NA,7.31,NA,NumberFire,0530,san-francisco-dst,D,San Francisco D/ST,NA,NA,NA,NA,PHI,NA,NA,NA,NA,NA,1.26,13.36,#6,12,7.32,4200,1.74,7.32,7.32,NA
IND,0.68,NA,2.66,NA,0.36,NA,0.18,20.5,NA,NA,NA,321.62,NA,7.02,NA,NumberFire,0502,indianapolis-dst,D,Indianapolis D/ST,NA,NA,NA,NA,TEN,NA,NA,NA,NA,NA,1.03,13.01,#18,13,7.04,4500,1.56,7.04,7.04,NA
HOU,0.52,NA,3.06,NA,0.45,NA,0.17,22.25,NA,NA,NA,329.41,NA,6.81,NA,NumberFire,0532,houston-dst,D,Houston D/ST,NA,NA,NA,NA,DEN,NA,NA,NA,NA,NA,0.86,12.76,#15,14,6.8,3500,1.94,6.8,6.8,NA
DET,0.71,NA,2.34,NA,0.42,NA,0.18,21.25,NA,NA,NA,338.79,NA,6.7,NA,NumberFire,0522,detroit-dst,D,Detroit D/ST,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA,0.77,12.63,#19,15,6.71,4300,1.56,6.71,6.71,NA
TEN,0.64,NA,2.4,NA,0.55,NA,0.16,22,NA,NA,NA,336.36,NA,6.63,NA,NumberFire,0508,tennessee-dst,D,Tennessee D/ST,NA,NA,NA,NA,IND,NA,NA,NA,NA,NA,0.72,12.54,#16,16,6.59,3400,1.94,6.59,6.59,NA
PHI,0.71,NA,2.9,NA,0.59,NA,0.15,25.25,NA,NA,NA,353.46,NA,6.47,NA,NumberFire,0518,philadelphia-dst,D,Philadelphia D/ST,NA,NA,NA,NA,SF,NA,NA,NA,NA,NA,0.59,12.35,#1,17,6.48,3800,1.71,6.48,6.48,NA
CLE,0.72,NA,2.49,NA,0.29,NA,0.16,22,NA,NA,NA,327.65,NA,6.33,NA,NumberFire,0507,cleveland-dst,D,Cleveland D/ST,NA,NA,NA,NA,LA,NA,NA,NA,NA,NA,0.48,12.18,#11,18,6.3,4100,1.54,6.3,6.3,NA
