player,team,fg,fg_att,xp,site_pts,src_id,data_src,pos,id,opp,xp_att,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,fg_att_50,fg_att_4049
Ka'imi Fairbairn,HOU,2,1.8,1.7,7.72,12347,FleaFlicker,K,12860,@BALSun 1:00 PM,1.7,NA,NA,NA,NA,NA,NA,7,K24,2/1,1/1,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,KC,1,1.8,3.4,6.35,13124,FleaFlicker,K,13354,DETThu 8:20 PM,3.4,NA,NA,NA,NA,NA,NA,0,K3,1/1,3/3,92%,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRZane Gonzalez,SF,1,0.9,1.1,5.06,13085,FleaFlicker,K,13347,@PITSun 1:00 PM,1.1,NA,NA,NA,NA,NA,NA,9,NA,0/0,1/1,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Badgley,DET,0,0,0,0,14050,FleaFlicker,K,13980,@KCThu 8:20 PM,0,NA,NA,NA,NA,NA,NA,9,K27,0/0,0/0,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,TEN,0,0,0,0,16929,FleaFlicker,K,15882,@NOSun 1:00 PM,0,NA,NA,NA,NA,NA,NA,7,K29,0/0,0/0,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,BAL,1.99,2.16,3.19,9.83,justin-tucker,NumberFire,K,10976,HOU,NA,0,0.61,0.71,0.56,0.09,NA,NA,NA,NA,NA,NA,5.03,14.63,#26,1,9.84,9.84,9.84,NA,NA
Younghoe Koo,ATL,2.05,2.28,2.4,9.7,younghoe-koo,NumberFire,K,13403,CAR,NA,0,0.61,0.51,0.5,0.39,NA,NA,NA,NA,NA,NA,4.64,14.76,#18,2,9.71,9.71,9.71,NA,NA
Cameron Dicker,LAC,2.21,2.64,2.15,9.65,cameron-dicker,NumberFire,K,15979,MIA,NA,0,0.66,0.78,0.61,0.15,NA,NA,NA,NA,NA,NA,4.76,14.54,#23,3,9.66,9.66,9.66,NA,NA
Jason Myers,SEA,2.53,2.93,2.05,9.49,jason-myers,NumberFire,K,12437,LA,NA,0.02,0.52,0.67,0.48,0.38,NA,NA,NA,NA,NA,NA,4.85,14.13,#14,4,9.5,9.5,9.5,NA,NA
Brandon McManus,JAC,1.96,2.33,2.64,9.48,brandon-mcmanus,NumberFire,K,11947,IND,NA,0.02,0.78,0.58,0.49,0.15,NA,NA,NA,NA,NA,NA,5.39,13.57,#13,5,9.49,9.49,9.49,NA,NA
Greg Joseph,MIN,1.94,2.51,2.86,9.24,greg-joseph,NumberFire,K,13898,TB,NA,0.05,0.53,0.71,0.53,0.08,NA,NA,NA,NA,NA,NA,4.07,14.41,#16,6,9.25,9.25,9.25,NA,NA
Tyler Bass,BUF,1.82,2.2,3.02,9.23,tyler-bass,NumberFire,K,14983,NYJ,NA,0.02,0.62,0.49,0.49,0.17,NA,NA,NA,NA,NA,NA,3.93,14.53,#2,7,9.22,9.22,9.22,NA,NA
Cairo Santos,CHI,1.98,2.31,2.26,9.21,cairo-santos,NumberFire,K,11945,GB,NA,0.02,0.46,0.71,0.62,0.18,NA,NA,NA,NA,NA,NA,4.61,13.81,#15,8,9.21,9.21,9.21,NA,NA
Jake Elliott,PHI,1.7,1.99,3.08,8.99,jake-elliott,NumberFire,K,13303,NE,NA,0,0.58,0.61,0.41,0.14,NA,NA,NA,NA,NA,NA,4.77,13.21,#4,9,8.99,8.99,8.99,NA,NA
Graham Gano,NYG,1.85,2.01,2.15,8.98,graham-gano,NumberFire,K,9694,DAL,NA,0,0.33,0.44,0.89,0.19,NA,NA,NA,NA,NA,NA,4.67,13.29,#3,10,8.97,8.97,8.97,NA,NA
Harrison Butker,KC,1.37,1.85,4.02,8.84,harrison-butker,NumberFire,K,13354,DET,NA,0.02,0.34,0.48,0.46,0.09,NA,NA,NA,NA,NA,NA,5.13,12.55,#31,11,8.83,8.83,8.83,NA,NA
Matthew Wright,SF,1.68,1.95,2.74,8.71,matthew-wright,NumberFire,K,14426,PIT,NA,0.06,0.54,0.41,0.49,0.2,NA,NA,NA,NA,NA,NA,4.93,12.49,#20,12,8.73,8.73,8.73,NA,NA
Joey Slye,WSH,1.86,1.91,1.83,8.65,joey-slye,NumberFire,K,14600,ARI,NA,0,0.67,0.69,0.4,0.23,NA,NA,NA,NA,NA,NA,5,12.3,#30,13,8.66,8.66,8.66,NA,NA
Evan McPherson,CIN,1.67,1.9,2.7,8.58,evan-mcpherson,NumberFire,K,15368,CLE,NA,0.02,0.51,0.44,0.6,0.12,NA,NA,NA,NA,NA,NA,4.5,12.66,#22,14,8.61,8.61,8.61,NA,NA
Dustin Hopkins,CLE,1.77,2.04,2.18,8.55,dustin-hopkins,NumberFire,K,11387,CIN,NA,0,0.56,0.43,0.73,0.1,NA,NA,NA,NA,NA,NA,4.64,12.46,#11,15,8.57,8.57,8.57,NA,NA
Eddy Pineiro,CAR,1.78,2.01,2.18,8.49,eddy-pineiro,NumberFire,K,13719,ATL,NA,0.04,0.56,0.58,0.42,0.22,NA,NA,NA,NA,NA,NA,4.95,12.03,#32,16,8.5,8.5,8.5,NA,NA
Matt Gay,IND,1.72,1.95,2.1,8.4,matt-gay,NumberFire,K,14244,JAC,NA,0,0.68,0.42,0.44,0.25,NA,NA,NA,NA,NA,NA,4.09,12.71,#17,17,8.41,8.41,8.41,NA,NA
Wil Lutz,DEN,1.71,2.38,2.63,8.36,wil-lutz,NumberFire,K,12956,LV,NA,0,0.46,0.68,0.44,0.11,NA,NA,NA,NA,NA,NA,3.82,12.9,#29,18,8.36,8.36,8.36,NA,NA
Daniel Carlson,LV,1.79,1.99,1.88,8.35,daniel-carlson,NumberFire,K,13718,DEN,NA,0.05,0.61,0.62,0.51,0.12,NA,NA,NA,NA,NA,NA,4.11,12.59,#9,19,8.36,8.36,8.36,NA,NA
Jason Sanders,MIA,1.52,1.85,2.9,8.33,jason-sanders,NumberFire,K,13832,LAC,NA,0.02,0.32,0.53,0.49,0.17,NA,NA,NA,NA,NA,NA,3.86,12.8,#19,20,8.32,8.32,8.32,NA,NA
Greg Zuerlein,NYJ,1.87,2.38,1.44,8.29,greg-zuerlein,NumberFire,K,10868,BUF,NA,0.02,0.43,0.54,0.69,0.23,NA,NA,NA,NA,NA,NA,2.92,13.66,#6,21,8.32,8.32,8.32,NA,NA
Brett Maher,LA,1.67,1.91,2.3,8.18,brett-maher,NumberFire,K,13909,SEA,NA,0.02,0.45,0.52,0.47,0.21,NA,NA,NA,NA,NA,NA,3.73,12.63,#25,22,8.2,8.2,8.2,NA,NA
Chase McLaughlin,TB,1.67,1.94,2.46,8.18,chase-mclaughlin,NumberFire,K,14717,MIN,NA,0.02,0.47,0.62,0.47,0.1,NA,NA,NA,NA,NA,NA,4.68,11.68,#24,22,8.17,8.17,8.17,NA,NA
