player,dst_sacks,dst_int,dst_fum_rec,dst_fum_force,dst_td,dst_safety,dst_pts_allowed,dst_yds_allowed,site_pts,src_id,data_src,pos,id,team,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
NA,2.82,0.71,0.64,NA,0.16,0.06,22.18,NA,7.02,100005,NFL,DST,0521,Chicago Bears,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07
NA,2.74,0.92,0.61,NA,0.14,0.06,20.08,NA,6.94,100031,NFL,DST,0525,Tampa Bay Buccaneers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
NA,2.72,0.89,0.61,NA,0.15,0.04,20.03,NA,6.88,100030,NFL,DST,0515,Seattle Seahawks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
NA,2.79,0.84,0.62,NA,0.14,0.06,23.48,NA,6.85,100014,NFL,DST,0502,Indianapolis Colts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
NA,2.57,1,0.59,NA,0.14,0.03,20.95,NA,6.77,100007,NFL,DST,0507,Cleveland Browns,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
NA,2.51,0.88,0.64,NA,0.16,0.03,21.61,NA,6.63,100027,NFL,DST,0510,Pittsburgh Steelers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
NA,2.55,0.84,0.56,NA,0.16,0.05,23.02,NA,6.59,100001,NFL,DST,0526,Atlanta Falcons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
NA,2.28,0.96,0.55,NA,0.15,0.03,20.95,NA,6.56,100017,NFL,DST,0528,Los Angeles Rams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
NA,2.16,0.9,0.72,NA,0.15,0.03,20.16,NA,6.54,100025,NFL,DST,0518,Philadelphia Eagles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
NA,2.26,0.96,0.57,NA,0.16,0.03,23.75,NA,6.52,100015,NFL,DST,0509,Jacksonville Jaguars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
NA,2.09,0.95,0.7,NA,0.14,0.03,21.3,NA,6.47,100002,NFL,DST,0531,Baltimore Ravens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
NA,2.27,0.91,0.61,NA,0.14,0.03,20.54,NA,6.39,100016,NFL,DST,0512,Kansas City Chiefs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
NA,2.16,0.88,0.55,NA,0.15,0.03,22.7,NA,6.1,100022,NFL,DST,0529,New Orleans Saints DEF  View News,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
NA,2.25,0.8,0.53,NA,0.16,0.03,24.88,NA,6.05,100026,NFL,DST,0519,Arizona Cardinals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
NA,1.98,0.77,0.62,NA,0.16,0.04,23.1,NA,6.04,100009,NFL,DST,0511,Denver Broncos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
NA,2.57,0.73,0.49,NA,0.15,0.03,25.58,NA,6.03,100019,NFL,DST,0503,Miami Dolphins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
NA,2.27,0.7,0.59,NA,0.14,0.03,23.51,NA,5.99,100020,NFL,DST,0524,Minnesota Vikings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
NA,1.96,0.78,0.64,NA,0.14,0.03,23.47,NA,5.82,100021,NFL,DST,0504,New England Patriots,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
NA,1.89,0.71,0.66,NA,0.17,0.02,25.98,NA,5.81,100028,NFL,DST,0514,Los Angeles Chargers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
