player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_0019,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Chris Boswell,K,PIT,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,9.59,NA,10779,FleaFlicker,11936,@BALSun 8:20 PM,NA,NA,9,K24,2/2,1/1,16%,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,9.57,NA,13324,FleaFlicker,13403,ARISun 1:00 PM,NA,NA,4,K23,2/1,2/2,62%,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,9.34,NA,10038,FleaFlicker,13909,@TENThu 8:15 PM,NA,NA,9,K7,2/1,2/2,69%,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,JAC,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,9.23,NA,16587,FleaFlicker,15369,@HOUSun 1:00 PM,NA,NA,1,NA,2/1,2/2,7%,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,9.21,NA,6304,FleaFlicker,9694,INDSun 1:00 PM,NA,NA,9,K20,2/1,2/2,50%,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,8.98,NA,13947,FleaFlicker,13718,SFSun 4:05 PM,NA,NA,6,K2,2/2,1/1,91%,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,8.85,NA,13986,FleaFlicker,13719,@TBSun 1:00 PM,NA,NA,3,NA,2/1,1/1,9%,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,8.83,NA,13035,FleaFlicker,13303,NOSun 1:00 PM,NA,NA,7,K12,2/1,1/1,22%,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,8.78,NA,12611,FleaFlicker,12956,@PHISun 1:00 PM,NA,NA,4,K9,2/1,1/1,23%,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,8.5,NA,16457,FleaFlicker,15368,BUFMon 8:30 PM,NA,NA,0,K5,2/1,2/2,73%,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,DEN,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,8.48,NA,9754,FleaFlicker,11947,@KCSun 1:00 PM,NA,NA,9,NA,2/2,1/1,32%,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,8.38,NA,4221,FleaFlicker,8930,@ATLSun 1:00 PM,NA,NA,3,K11,2/1,1/1,35%,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,8.03,NA,17315,FleaFlicker,15979,LARSun 4:25 PM,NA,NA,8,K14,2/1,2/2,15%,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,7.91,NA,12347,FleaFlicker,12860,JACSun 1:00 PM,NA,NA,6,NA,2/1,1/1,11%,NA,NA,NA,NA,NA,NA,NA
Michael Badgley,K,DET,NA,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.1,7.1,NA,14050,FleaFlicker,13980,CHISun 1:00 PM,NA,NA,6,K18,1/1,3/3,17%,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,6.38,NA,10888,FleaFlicker,11945,@DETSun 1:00 PM,NA,NA,4,NA,1/1,2/2,15%,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,NA,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,5.88,NA,15366,FleaFlicker,14600,CLESun 1:00 PM,NA,NA,4,NA,1/1,1/1,7%,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,NA,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,5.68,NA,4715,FleaFlicker,8742,MINSun 4:25 PM,NA,NA,4,K21,1/1,2/2,12%,NA,NA,NA,NA,NA,NA,NA
Randy Bullock,K,TEN,NA,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,5.61,NA,8478,FleaFlicker,10862,DALThu 8:15 PM,NA,NA,6,NA,1/1,1/1,6%,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,1,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,5.06,NA,15626,FleaFlicker,14983,@CINMon 8:30 PM,NA,NA,7,K3,1/1,2/2,90%,NA,NA,NA,NA,NA,NA,NA
Cade York,K,CLE,NA,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,4.82,NA,16929,FleaFlicker,15882,@WASSun 1:00 PM,NA,NA,9,NA,1/1,1/1,20%,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,NA,1.99,2.38,NA,0.66,NA,0.57,NA,0.62,NA,0.13,NA,2.72,NA,9.61,NA,brett-maher,NumberFire,13909,TEN,0.02,NA,NA,NA,NA,NA,NA,5.05,14.17,#16,1,9.6,9.6,9.6
