player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
"Hill, Justice",RB,BAL,NA,3.9,20,NA,0,1,0.8,3,NA,NA,0,0.1,2.3,NA,NA,FantasySharks,14086,@JAC,0,0,0,0,0,0,0.2,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Damien",RB,ATL,NA,4.6,23,NA,0,0.5,0.4,3,NA,NA,0,0.1,2.3,NA,NA,FantasySharks,11886,@WAS,0,0,0,0,0,0,0,0,0,8,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas, DeeJay",RB,SEA,NA,2.7,12,NA,0.1,1.1,0.9,6,NA,NA,0,0,2.2,NA,NA,FantasySharks,14815,LVR,0.1,0,0,0,0,0,0.2,0,0,26,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Jonathan",RB,WAS,NA,3.7,17,NA,0,0.8,0.3,2,NA,NA,0,0,2.1,NA,NA,FantasySharks,12635,ATL,0,0,0,0,0,0,0.1,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, D'Ernest",RB,CLE,NA,2.6,13,NA,0.1,0.8,0.6,3,NA,NA,0,0,2,NA,NA,FantasySharks,14331,TBB,0,0,0,0,0,0,0,0,0,17,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Ronald",RB,KCC,NA,3.2,13,NA,0.1,0.8,0.5,3,NA,NA,0,0,1.9,NA,NA,FantasySharks,13606,LAR,0.1,0,0,0,0,0,0.1,0,0,14,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bernard, Giovani",RB,TBB,NA,1.5,6,NA,0,1.3,0.9,5,NA,NA,0.1,0,1.9,NA,NA,FantasySharks,11193,@CLE,0,0,0,0,0,0,0.3,0,0,3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ogunbowale, Dare",RB,HOU,NA,1.6,5,NA,0.1,1.7,1.2,8,NA,NA,0,0,1.9,NA,NA,FantasySharks,13148,@MIA,0.1,0,0,0,0,0,0.2,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hines, Nyheim",RB,BUF,NA,1.5,5,NA,0,1.8,1.3,10,NA,NA,0,0,1.7,NA,NA,FantasySharks,13622,@DET,0,0,0,0,0,0,0.4,0,0,11,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackshear, Raheem",RB,CAR,NA,2.5,10,NA,0,0.8,0.6,5,NA,NA,0,0,1.7,NA,NA,FantasySharks,15973,DEN,0,0,0,0,0,0,0,0,0,8,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
