player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Chase McLaughlin,K,IND,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,6.2,NA,19058,FantasyPros,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LAR,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,6.2,NA,18545,FantasyPros,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,6.1,NA,11345,FantasyPros,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,6,NA,15756,FantasyPros,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlson, Daniel",K,LVR,NA,2.5,2.6,0,NA,0.8,NA,0.7,NA,0.4,NA,0.5,NA,2,2.2,10.7,NA,NA,FantasySharks,13718,@JAC,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker, Justin",K,BAL,NA,2.2,2.4,0,NA,0.5,NA,0.7,NA,0.5,NA,0.5,NA,2.8,2.9,10,NA,NA,FantasySharks,10976,@NOS,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myers, Jason",K,SEA,NA,1.8,2,0,NA,0.3,NA,0.9,NA,0.3,NA,0.4,NA,2.7,2.9,8.7,NA,NA,FantasySharks,12437,@ARI,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Chase",K,IND,NA,1.9,2.2,0,NA,0.5,NA,0.4,NA,0.6,NA,0.4,NA,2.1,2.2,8.5,NA,NA,FantasySharks,14717,@NEP,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Folk, Nick",K,NEP,NA,1.9,2.1,0.1,NA,0.3,NA,0.7,NA,0.6,NA,0.2,NA,2.3,2.4,8.5,NA,NA,FantasySharks,8851,IND,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koo, Younghoe",K,ATL,NA,1.8,2.1,0,NA,0.5,NA,0.5,NA,0.5,NA,0.4,NA,2.3,2.3,8.4,NA,NA,FantasySharks,13403,LAC,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Succop, Ryan",K,TBB,NA,2,2.1,0,NA,0.7,NA,0.6,NA,0.6,NA,0.1,NA,2.3,2.4,8.4,NA,NA,FantasySharks,9686,LAR,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bass, Tyler",K,BUF,NA,1.5,1.8,0,NA,0.5,NA,0.6,NA,0.3,NA,0.1,NA,3.5,3.6,8,NA,NA,FantasySharks,14983,@NYJ,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Badgley, Mike",K,DET,NA,1.8,2,0,NA,0.4,NA,0.4,NA,0.8,NA,0.1,NA,2.1,2.2,7.8,NA,NA,FantasySharks,13980,GBP,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pineiro, Eddy",K,CAR,NA,1.9,2,0,NA,0.1,NA,0.9,NA,0.7,NA,0.1,NA,1.8,2,7.8,NA,NA,FantasySharks,13719,@CIN,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Cairo",K,CHI,NA,1.8,1.8,0,NA,0.4,NA,0.4,NA,0.6,NA,0.2,NA,1.6,1.8,7.8,NA,NA,FantasySharks,11945,MIA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McPherson, Evan",K,CIN,NA,1.6,1.9,0.1,NA,0.3,NA,0.4,NA,0.4,NA,0.5,NA,2.3,2.5,7.7,NA,NA,FantasySharks,15368,CAR,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butker, Harrison",K,KCC,NA,1.5,1.8,0,NA,0.2,NA,0.5,NA,0.3,NA,0.4,NA,3.2,3.4,7.7,NA,NA,FantasySharks,13354,TEN,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
